index,x_px,y_px,x_normalized,y_normalized,x_offset_from_center_px,y_offset_from_center_px,x_relative_center,y_relative_center
0,65.0,174.0,0.14541387024608501,0.38926174496644295,-158.5,-49.5,-0.70917225950783,-0.2214765100671141
1,72.85379791259766,173.30662536621094,0.16298388794764576,0.3877105712890625,-150.64620208740234,-50.19337463378906,-0.6740322241047084,-0.224578857421875
2,80.73507690429688,173.0,0.1806153845733711,0.3870246085011186,-142.76492309570312,-50.5,-0.6387692308532579,-0.22595078299776286
3,88.58147430419922,173.6312255859375,0.19816884631811907,0.3884367462772651,-134.91852569580078,-49.8687744140625,-0.6036623073637619,-0.2231265074454698
4,96.12897491455078,171.3917236328125,0.21505363515559459,0.38342667479376397,-127.37102508544922,-52.1082763671875,-0.5698927296888108,-0.23314665041247204
5,103.98704528808594,171.0,0.2326332109353153,0.3825503355704698,-119.51295471191406,-52.5,-0.5347335781293694,-0.2348993288590604
6,111.8901138305664,171.0,0.2503134537596564,0.3825503355704698,-111.6098861694336,-52.5,-0.49937309248068723,-0.2348993288590604
7,119.7651138305664,171.39501953125,0.26793090342408593,0.38343404816834453,-103.7348861694336,-52.10498046875,-0.46413819315182814,-0.23313190366331096
8,127.51443481445312,172.8612823486328,0.28526719197864236,0.38671427818486087,-95.98556518554688,-50.63871765136719,-0.4294656160427153,-0.22657144363027826
9,135.11341857910156,175.03240966796875,0.3022671556579453,0.39157138628180926,-88.38658142089844,-48.46759033203125,-0.39546568868410936,-0.21685722743638144
10,142.89132690429688,176.2702178955078,0.3196673979961899,0.3943405322047155,-80.60867309570312,-47.22978210449219,-0.36066520400762025,-0.21131893559056908
11,150.74252319335938,177.00001525878906,0.33723159551087106,0.3959731884984095,-72.75747680664062,-46.49998474121094,-0.3255368089782578,-0.20805362300318092
12,158.64559936523438,177.00001525878906,0.3549118554032089,0.3959731884984095,-64.85440063476562,-46.49998474121094,-0.29017628919358224,-0.20805362300318092
13,166.54867553710938,177.00001525878906,0.3725921152955467,0.3959731884984095,-56.951324462890625,-46.49998474121094,-0.2548157694089066,-0.20805362300318092
14,174.45175170898438,177.00001525878906,0.3902723751878845,0.3959731884984095,-49.048248291015625,-46.49998474121094,-0.219455249624231,-0.20805362300318092
15,182.35482788085938,177.00001525878906,0.40795263508022234,0.3959731884984095,-41.145172119140625,-46.49998474121094,-0.18409472983955538,-0.20805362300318092
16,190.2578887939453,177.00001525878906,0.4256328608365667,0.3959731884984095,-33.24211120605469,-46.49998474121094,-0.14873427832686661,-0.20805362300318092
17,198.1609649658203,177.00001525878906,0.4433131207289045,0.3959731884984095,-25.339035034179688,-46.49998474121094,-0.11337375854219099,-0.20805362300318092
18,206.01316833496094,176.28384399414062,0.46087957121915196,0.394371015646847,-17.486831665039062,-47.216156005859375,-0.07824085756169603,-0.21125796870630592
19,213.83685302734375,175.16616821289062,0.4783822215376818,0.39187062240020276,-9.66314697265625,-48.333831787109375,-0.043235556924636466,-0.21625875519959453
20,221.72811889648438,175.00001525878906,0.49603606017110596,0.3914989155677608,-1.771881103515625,-48.49998474121094,-0.007927879657788031,-0.21700216886447846
21,229.63119506835938,175.00001525878906,0.5137163200634438,0.3914989155677608,6.131195068359375,-48.49998474121094,0.027432640126887585,-0.21700216886447846
22,237.53427124023438,175.00001525878906,0.5313965799557816,0.3914989155677608,14.034271240234375,-48.49998474121094,0.0627931599115632,-0.21700216886447846
