point_index,x,y,arc_length,curvature,planned_speed
0,-6.592032082675634e-15,1.4226058690191758e-28,0.0,0.0,0.0
1,0.002455491971324932,-0.014732951827989112,0.014936174556663474,0.0,0.05987221303408814
2,0.004910983942656456,-0.029465903655978225,0.029872349113326948,0.0,0.08467209568209864
3,0.00736647591398798,-0.044198855483967334,0.04480852366999042,-4.067261957953009e-15,0.10370171493662822
4,0.009821967885319504,-0.05893180731195645,0.059744698226653896,-4.067261957953013e-15,0.11974442606817627
5,0.012277459856651025,-0.07366475913994555,0.07468087278331736,1.2201785873859036e-14,0.13
6,0.014732951827982552,-0.08839771096793467,0.08961704733998084,2.343146694227582,0.13
7,0.017701802451343073,-0.103032654238409,0.10455008583031596,0.8034522969484571,0.13
8,0.02084670475562502,-0.11763398636543232,0.11948626038697943,5.179334783160516,0.13
9,0.025101623973027863,-0.1319212679235975,0.1343936663272801,3.3400487743045035,0.13
10,0.030072683347489165,-0.14600593615123786,0.14932984088394355,10.083863035763086,0.13
11,0.03708909655925205,-0.15916283832757086,0.16424071373685853,9.020454525885286,0.13
12,0.045796949767343144,-0.17124618720918716,0.17913480745512553,3.3714280760872746,0.13
13,0.05512750404229921,-0.18290938005288224,0.194070982011789,6.744205848772474,0.13
14,0.06557331639879724,-0.19356476325920377,0.20899251635182003,6.788392156782728,0.13
15,0.07703315291317742,-0.2031010125548293,0.22390116832188894,3.018102726366694,0.13
16,0.08893267280314565,-0.21212823454032245,0.2388373428785524,5.155131954227936,0.13
17,0.10148677439553587,-0.22021035777110293,0.25376805561135846,1.0497256446750671,0.13
18,0.11416919913633775,-0.22809668522076829,0.2687025143544616,2.4886737610694922,0.13
19,0.12713743026473467,-0.23550710300842367,0.2836386889111251,3.2538095663624145e-14,0.13
20,0.14010566139313152,-0.242917520796079,0.2985748634677885,-8.134523915906006e-14,0.13
21,0.15307389252152848,-0.2503279385837344,0.31351103802445207,1.8760395710262134,0.13
22,0.16624178966676062,-0.2573706189192438,0.3284439835321402,1.033307987245989,0.13
23,0.1795196688179808,-0.26421073848199356,0.3433801580888036,4.63379621595316,0.13
24,0.1932332401521713,-0.2701138500634075,0.3583102875283147,0.783025332952101,0.13
25,0.20702047820447605,-0.27585853258520115,0.37324646208497814,6.967777854893371,0.13
26,0.22132811538117617,-0.2801387008536838,0.38818059486819045,3.9283207245066394,0.13
27,0.23584992589277895,-0.28356998517855714,0.4031022801836305,2.31978859275006,0.13
28,0.2504960500317896,-0.28649921000635925,0.418038454740294,2.4633290966943493,0.13
29,0.26522536672268143,-0.2888855750060023,0.4329598322937274,3.9536977699707836,0.13
30,0.2800806428766056,-0.29040000000000005,0.44789210314151856,6.799857998081916,0.13
31,0.2950168174332691,-0.29040000000000005,0.462828277698182,0.910997850590714,0.13
32,0.30994477211404525,-0.290196910369131,0.47775761379693316,4.506039538181424,0.13
33,0.32483209116238304,-0.2889898304462928,0.4926937883535966,1.1020449125076588,0.13
34,0.3396942258524482,-0.28753822176844324,0.5076266452570577,1.8073155917507246,0.13
35,0.3545150614277589,-0.28568561732152936,0.5225628198137211,-2.1759851475048794e-13,0.13
36,0.36933589700306957,-0.28383301287461554,0.5374989943703845,1.2405148971756584e-13,0.13
37,0.38415673257838046,-0.28198040842770167,0.5524351689270481,4.105860967776593,0.13
38,0.39883243476284846,-0.27922362888586777,0.5673675521276452,0.9318976979571185,0.13
39,0.4134673368574346,-0.2762631155213317,0.5822988949574016,7.6719723550252645,0.13
40,0.4276721477173338,-0.2716465519918645,0.5972350695140649,0.18257617102750437,0.13
41,0.4418616520818387,-0.26699214727818943,0.6121684387704981,9.20324625770846,0.13
42,0.4552814145992202,-0.2604347633208326,0.6271046133271615,3.107351052676509,0.13
43,0.46836515923626815,-0.2532717754773287,0.6420208048174068,3.8650752388717167,0.13
44,0.4810310099286429,-0.24535561879459464,0.6569569793740704,1.8709405006583677e-13,0.13
45,0.4936968606210175,-0.23743946211186062,0.6718931539307338,5.334408075684333,0.13
46,0.5056777312766106,-0.22855179607267903,0.6868106560436907,2.1030202890306584,0.13
47,0.5173883765711947,-0.2192808685478001,0.7017468306003543,4.744216339924388,0.13
48,0.5284041578920387,-0.209212682020125,0.7166704969750999,1.5833770645037963,0.13
49,0.5391878997514948,-0.19887826273814638,0.7316066715317633,-8.13452391590603e-14,0.13
50,0.5499716416109511,-0.18854384345616768,0.7465428460884268,2.1710794652592034,0.13
51,0.5604101282624117,-0.17786997517125572,0.7614724632213733,1.8136710632778008,0.13
52,0.5705601850088179,-0.16691252754729463,0.7764086377780366,-4.718023871225523e-13,0.13
53,0.5807102417552243,-0.15595507992333346,0.7913448123347001,1.1388333482268416e-13,0.13
54,0.5908602985016307,-0.14499763229937238,0.8062809868913635,0.5266591010007741,0.13
55,0.6009233488092136,-0.1339612325896312,0.8212164179211705,0.8474211408985315,0.13
56,0.6108464030751125,-0.12279779654049522,0.836152592477834,1.220178587385906e-13,0.13
57,0.6207694573410113,-0.11163436049135933,0.8510887670344974,-1.220178587385906e-13,0.13
58,0.6306925116069102,-0.10047092444222336,0.866024941591161,8.134523915906048e-14,0.13
59,0.640615565872809,-0.08930748839308748,0.8809611161478244,-1.3015238265449693e-13,0.13
60,0.6505386201387079,-0.07814405234395153,0.8958972907044879,-2.0336309789764974e-13,0.13
61,0.6604616744046068,-0.06698061629481564,0.9108334652611514,2.440357174771794e-13,0.13
62,0.6703847286705057,-0.055817180245679665,0.9257696398178149,-4.880714349543563e-14,0.13
63,0.6803077829364046,-0.04465374419654371,0.9407058143744784,1.6269047831812096e-13,0.13
64,0.6902308372023034,-0.03349030814740782,0.9556419889311418,-1.7082500223402703e-13,0.1197444260681763
65,0.7001538914682023,-0.02232687209827186,0.9705781634878053,1.6269047831812096e-13,0.09777091446981875
66,0.7100769457341011,-0.011163436049135972,0.9855143380444688,-1.220178587385906e-13,0.06913447662441892
67,0.72,0.0,1.0004505126011323,-1.220178587385906e-13,0.0
