id,shape,center_x,center_y,radius,width,height,yaw,inflation
circle_center,circle,0.3,0.0,0.04,0.0,0.0,0.0,0.2
upper_box,rectangle,0.52,0.33,0.0,0.08,0.08,0.0,0.2
