replan_index,wall_time,waypoint_index,x,y
2,0.0027287410048302263,0,-2.29482265807178e-16,-4.228129702109448e-37
2,0.0027287410048302263,1,0.12,0.27
2,0.0027287410048302263,2,0.30000000000000004,0.30000000000000004
2,0.0027287410048302263,3,0.48,0.27
2,0.0027287410048302263,4,0.6,0.1
2,0.0027287410048302263,5,0.72,0.06
