index,x_px,y_px,x_normalized,y_normalized
0,65.0,174.0,0.14541387024608501,0.38926174496644295
1,72.85379791259766,173.30662536621094,0.16298388794764576,0.3877105712890625
2,80.73507690429688,173.0,0.1806153845733711,0.3870246085011186
3,88.58147430419922,173.6312255859375,0.19816884631811907,0.3884367462772651
4,96.12897491455078,171.3917236328125,0.21505363515559459,0.38342667479376397
5,103.98704528808594,171.0,0.2326332109353153,0.3825503355704698
6,111.8901138305664,171.0,0.2503134537596564,0.3825503355704698
7,119.7651138305664,171.39501953125,0.26793090342408593,0.38343404816834453
8,127.51443481445312,172.8612823486328,0.28526719197864236,0.38671427818486087
9,135.11341857910156,175.03240966796875,0.3022671556579453,0.39157138628180926
10,142.89132690429688,176.2702178955078,0.3196673979961899,0.3943405322047155
11,150.74252319335938,177.00001525878906,0.33723159551087106,0.3959731884984095
12,158.64559936523438,177.00001525878906,0.3549118554032089,0.3959731884984095
13,166.54867553710938,177.00001525878906,0.3725921152955467,0.3959731884984095
14,174.45175170898438,177.00001525878906,0.3902723751878845,0.3959731884984095
15,182.35482788085938,177.00001525878906,0.40795263508022234,0.3959731884984095
16,190.2578887939453,177.00001525878906,0.4256328608365667,0.3959731884984095
17,198.1609649658203,177.00001525878906,0.4433131207289045,0.3959731884984095
18,206.01316833496094,176.28384399414062,0.46087957121915196,0.394371015646847
19,213.83685302734375,175.16616821289062,0.4783822215376818,0.39187062240020276
20,221.72811889648438,175.00001525878906,0.49603606017110596,0.3914989155677608
21,229.63119506835938,175.00001525878906,0.5137163200634438,0.3914989155677608
22,237.53427124023438,175.00001525878906,0.5313965799557816,0.3914989155677608
23,245.43734741210938,175.00001525878906,0.5490768398481194,0.3914989155677608
24,253.3404083251953,175.00001525878906,0.5667570656044638,0.3914989155677608
25,261.20086669921875,174.39990234375,0.5843419836671561,0.3901563810822148
26,269.0755310058594,174.00001525878906,0.6019586823397302,0.38926177910243637
27,276.9084777832031,173.01307678222656,0.6194820532062709,0.38705386304748673
28,284.8106384277344,173.0,0.6371602649390031,0.3870246085011186
29,292.6663513183594,172.3333740234375,0.6547345667077391,0.38553327522021813
30,300.4900207519531,172.7843017578125,0.6722371828902755,0.38654206209801456
31,308.313720703125,173.9019775390625,0.6897398673447986,0.3890424553446588
32,316.1976623535156,174.1710968017578,0.7073773207013773,0.3896445118607557
33,323.9917297363281,175.42738342285156,0.7248137130566624,0.39245499647170373
34,331.7857360839844,176.68368530273438,0.742249968867974,0.3952655152186451
35,339.6294250488281,176.48150634765625,0.7597973714738884,0.39481321330571867
36,347.4982604980469,176.0,0.7774010301969728,0.39373601789709173
37,355.3302001953125,177.00001525878906,0.7949221480879475,0.3959731884984095
38,362.99517822265625,178.7122344970703,0.8120697499388283,0.39980365659299844
39,370.55621337890625,180.63482666015625,0.8289848174024749,0.4041047576289849
40,377.6459655761719,177.2440185546875,0.8448455605730915,0.3965190571693233
41,385.34088134765625,178.6688232421875,0.8620601372430788,0.3997065396916946
42,393.096923828125,180.00003051757812,0.8794114627027405,0.40268463203037613
43,401.0,180.0,0.8970917225950783,0.40268456375838924
