id,shape,center_x,center_y,radius,width,height,yaw,inflation,planning_inflation
curve_circle,circle,0.3,0.06,0.035,0.0,0.0,0.0,0.19999999999999998,0.25
lower_box,rectangle,0.55,-0.3,0.0,0.1,0.08,-0.3,0.19999999999999998,0.25
