index,x_px,y_px,x_normalized,y_normalized
0,446.0,1.0,0.9977628635346756,0.0022371364653243847
1,445.4404602050781,8.916884422302246,0.9965110966556557,0.019948287298215316
2,442.7312316894531,16.06297492980957,0.9904501827504544,0.03593506695706839
3,435.4183654785156,18.173450469970703,0.9740903030839275,0.040656488747138037
4,435.0,26.07524299621582,0.9731543624161074,0.05833387694902868
5,435.0,34.03189468383789,0.9731543624161074,0.07613399258129282
6,435.0,41.988548278808594,0.9731543624161074,0.09393411248055614
7,434.2857360839844,49.894447326660156,0.9715564565637235,0.1116206875316782
8,434.6011047363281,57.792301177978516,0.9722619792759019,0.12928926438026514
9,434.5241394042969,65.66897583007812,0.972089797325049,0.14691046046997344
10,435.0,73.591796875,0.9731543624161074,0.16463489233780762
11,435.0,81.54845428466797,0.9731543624161074,0.1824350207710693
12,435.0,89.5051040649414,0.9731543624161074,0.20023513213633423
13,435.0,97.46175384521484,0.9731543624161074,0.2180352435015992
14,435.0,105.41841125488281,0.9731543624161074,0.23583537193486087
15,435.0,113.37506103515625,0.9731543624161074,0.25363548330012586
16,434.0000305175781,121.26062774658203,0.9709172942227698,0.27127657214000456
17,435.0,129.14622497558594,0.9731543624161074,0.2889177292518701
18,434.4197692871094,137.06166076660156,0.9718563071299986,0.3066256392988849
19,434.0000305175781,144.98849487304688,0.9709172942227698,0.3243590489329908
20,434.81451416015625,152.85079956054688,0.9727394052799916,0.3419480974508879
21,438.27984619140625,159.97933959960938,0.9804918259315576,0.3578956143167995
22,434.86474609375,166.6680450439453,0.972851780970358,0.3728591611721372
23,427.97247314453125,170.59112548828125,0.9574328258266919,0.38163562749056207
24,422.08148193359375,175.91856384277344,0.9442538745717981,0.3935538341001643
25,414.994384765625,179.0,0.9283990710640381,0.4004474272930649
26,407.0377502441406,179.0,0.9105989938347665,0.4004474272930649
27,399.453857421875,180.7406768798828,0.8936327906529642,0.4043415590153978
28,392.7958984375,185.061279296875,0.8787380278243848,0.41400733623461966
29,390.7859191894531,192.49880981445312,0.8742414299540339,0.43064610696745664
30,389.3027038574219,200.2937469482422,0.8709232748488185,0.4480844450743673
31,383.6650695800781,205.61996459960938,0.8583111176288101,0.45999992080449525
32,376.96038818359375,209.88543701171875,0.8433118303883529,0.4695423646794603
33,370.86175537109375,214.9756622314453,0.8296683565348854,0.48092989313522444
34,364.82061767578125,220.15377807617188,0.8161535071046561,0.49251404491313616
35,357.9516296386719,224.01382446289062,0.8007866434869617,0.5011494954427084
36,350.2213439941406,225.8255615234375,0.7834929395842072,0.5052025984864373
37,342.2843933105469,226.10226440429688,0.7657368977864584,0.5058216205912682
38,334.8026123046875,228.68423461914062,0.7489991326726789,0.5115978403112765
39,327.8958435058594,232.60121154785156,0.7335477483352558,0.5203606522323301
40,319.9851989746094,233.00003051757812,0.7158505569901775,0.5212528646925685
41,312.0584411621094,233.4202423095703,0.6981173180360388,0.5221929358155936
42,304.1430358886719,234.00001525878906,0.6804094762610109,0.5234899670218994
43,296.1863708496094,234.00001525878906,0.6626093307597525,0.5234899670218994
44,288.2297058105469,234.00001525878906,0.6448091852584942,0.5234899670218994
45,280.2730712890625,234.00001525878906,0.6270091080292226,0.5234899670218994
46,272.3534851074219,234.52093505859375,0.6092919129919953,0.524655335701552
47,264.6038818359375,233.97311401367188,0.5919549929215604,0.5234297852654852
48,257.3008728027344,231.04298400878906,0.5756171651067883,0.5168746845834207
49,249.34727478027344,231.0,0.5578238809402091,0.5167785234899329
50,241.390625,231.0,0.540023769574944,0.5167785234899329
51,233.43397521972656,231.0,0.5222236582096791,0.5167785234899329
52,225.47731018066406,231.0,0.5044235127084207,0.5167785234899329
53,217.52066040039062,231.0,0.48662340134315574,0.5167785234899329
54,209.56399536132812,231.0,0.4688232558418974,0.5167785234899329
55,201.60733032226562,231.0,0.45102311034063897,0.5167785234899329
56,193.65069580078125,231.0,0.43322303311136745,0.5167785234899329
57,185.69403076171875,231.0,0.41542288761010904,0.5167785234899329
