point_index,x,y
0,0.0,0.0
1,0.012,0.0003476195670717939
2,0.024,0.0013838071345738283
3,0.036000000000000004,0.0030887474984804156
4,0.048,0.005430068336541024
5,0.05999999999999999,0.008363793320239163
6,0.07200000000000001,0.011835624789690207
7,0.084,0.01578250693675316
8,0.096,0.020134410051024842
9,0.108,0.024816268493607314
10,0.11999999999999998,0.02974999999999999
11,0.132,0.03485653187933491
12,0.14400000000000002,0.04005776074468979
13,0.156,0.045278376516726844
14,0.168,0.05044748839772169
15,0.18,0.05549999999999999
16,0.192,0.06037769240814875
17,0.20400000000000001,0.06502998714441398
18,0.216,0.0694143752103098
19,0.228,0.07349651297153592
20,0.23999999999999996,0.07725
21,0.252,0.08065586746139225
22,0.264,0.08370181765511638
23,0.27599999999999997,0.08638126535710562
24,0.28800000000000003,0.0886922392553102
25,0.3,0.09063620667976084
26,0.312,0.09221688681258812
27,0.32399999999999995,0.09343911654652
28,0.336,0.09430782920428535
29,0.348,0.09482719962705775
30,0.36,0.095
31,0.372,0.09482719962705775
32,0.384,0.09430782920428538
33,0.39599999999999996,0.09343911654652
34,0.40800000000000003,0.09221688681258812
35,0.42,0.09063620667976084
36,0.432,0.08869223925531022
37,0.444,0.08638126535710562
38,0.456,0.08370181765511639
39,0.46799999999999997,0.08065586746139228
40,0.4799999999999999,0.07725
41,0.492,0.07349651297153598
42,0.504,0.0694143752103098
43,0.5159999999999999,0.06502998714441399
44,0.528,0.060377692408148796
45,0.5399999999999999,0.055500000000000015
46,0.5519999999999999,0.0504474883977217
47,0.564,0.04527837651672682
48,0.5760000000000001,0.0400577607446898
49,0.588,0.03485653187933495
50,0.6,0.02974999999999999
51,0.612,0.024816268493607324
52,0.624,0.020134410051024836
53,0.6359999999999999,0.015782506936753156
54,0.6479999999999999,0.011835624789690215
55,0.66,0.008363793320239152
56,0.672,0.005430068336541024
57,0.6839999999999999,0.00308874749848042
58,0.696,0.0013838071345738238
59,0.708,0.00034761956707179357
60,0.72,4.0764880370968106e-32
