replan_index,wall_time,waypoint_index,x,y
2,0.008575835992814973,0,-2.2948226305330445e-16,-3.5312433745463284e-37
2,0.008575835992814973,1,0.009686577510812972,0.007758156876340225
2,0.008575835992814973,2,0.010871175708144283,0.022560494341960818
2,0.008575835992814973,3,0.011509799983837577,0.037401043812314634
2,0.008575835992814973,4,0.011781602858416739,0.05225349306292619
2,0.008575835992814973,5,0.011931614432195271,0.06710792187803849
2,0.008575835992814973,6,0.01199690378851019,0.08196314176116318
2,0.008575835992814973,7,0.012000000000000009,0.09681849831445555
2,0.008575835992814973,8,0.01200000000000001,0.11167386167170909
2,0.008575835992814973,9,0.01200000000000001,0.1265292250289626
2,0.008575835992814973,10,0.012971366765417042,0.14134922092136246
2,0.008575835992814973,11,0.01474058790986094,0.15606753399927326
2,0.008575835992814973,12,0.01782313832313465,0.170599557376135
2,0.008575835992814973,13,0.022680670022759482,0.18458784212315757
2,0.008575835992814973,14,0.029227622584166262,0.19788068685421387
2,0.008575835992814973,15,0.03671280975351852,0.21071243628738917
2,0.008575835992814973,16,0.04499270985957084,0.22300681795794852
2,0.008575835992814973,17,0.05442231369660945,0.2344548506316594
2,0.008575835992814973,18,0.06511586226572988,0.24476648675188264
2,0.008575835992814973,19,0.07610716268250464,0.25473746256861385
2,0.008575835992814973,20,0.08775704376881051,0.26395495090063603
2,0.008575835992814973,21,0.09959836342532075,0.2729178791565865
2,0.008575835992814973,22,0.11168666981605603,0.2815523837213974
2,0.008575835992814973,23,0.12377497620679126,0.2901868882862083
2,0.008575835992814973,24,0.13586328259752647,0.2988213928510192
2,0.008575835992814973,25,0.14821653120211575,0.3070661851926819
2,0.008575835992814973,26,0.16069203075023006,0.31513115459752344
2,0.008575835992814973,27,0.17368399063797443,0.3223141701815582
2,0.008575835992814973,28,0.18682184748913105,0.32924803907522426
2,0.008575835992814973,29,0.20055362773011537,0.3348716005502023
2,0.008575835992814973,30,0.2146222333046338,0.33958021511497405
2,0.008575835992814973,31,0.22897600442088423,0.34340788741264083
2,0.008575835992814973,32,0.24337826872956328,0.34700473258474224
2,0.008575835992814973,33,0.2580588631061433,0.3492767293334986
2,0.008575835992814973,34,0.27287114376549804,0.35008277709952035
2,0.008575835992814973,35,0.287721626109524,0.3504635586980851
2,0.008575835992814973,36,0.302542439205403,0.3495632996243399
2,0.008575835992814973,37,0.31735278338248696,0.3484285216442608
2,0.008575835992814973,38,0.33209343179243256,0.3465859405930176
2,0.008575835992814973,39,0.34683408020237816,0.34474335954177443
2,0.008575835992814973,40,0.36157472861232376,0.34290077849053124
2,0.008575835992814973,41,0.37624178570283806,0.3405806864105877
2,0.008575835992814973,42,0.3908532220758633,0.33789968891095007
2,0.008575835992814973,43,0.4051747868597085,0.33400916941959086
2,0.008575835992814973,44,0.4194141927233717,0.32977583254120446
2,0.008575835992814973,45,0.4329758755248066,0.3237434663648582
2,0.008575835992814973,46,0.44600079467556236,0.3166548228436488
2,0.008575835992814973,47,0.4586524884264352,0.308869165150804
2,0.008575835992814973,48,0.4709668402335633,0.300601313113656
2,0.008575835992814973,49,0.4826176510990156,0.2913850000409848
2,0.008575835992814973,50,0.49299355232347136,0.2807614403749051
2,0.008575835992814973,51,0.503308641542255,0.2700715233768327
2,0.008575835992814973,52,0.5125423630296921,0.258434504515953
2,0.008575835992814973,53,0.5217127420867373,0.2467497806456396
2,0.008575835992814973,54,0.5303472466515482,0.2346614742549043
2,0.008575835992814973,55,0.538981751216359,0.22257316786416914
2,0.008575835992814973,56,0.54761625578117,0.21048486147343376
2,0.008575835992814973,57,0.5561634641473432,0.19833552875942545
2,0.008575835992814973,58,0.5645508960679131,0.18607450081500587
2,0.008575835992814973,59,0.5726605904385158,0.1736321694542941
2,0.008575835992814973,60,0.5805100712389093,0.1610199741005785
2,0.008575835992814973,61,0.5876582061316307,0.148005595326902
2,0.008575835992814973,62,0.5938653053146831,0.13452149279577996
2,0.008575835992814973,63,0.5995438285356596,0.12080287815617058
2,0.008575835992814973,64,0.6030065885071689,0.10641558857939075
2,0.008575835992814973,65,0.6031818530237428,0.09164636276428005
2,0.008575835992814973,66,0.5998869880777167,0.07719951271663314
2,0.008575835992814973,67,0.5959331562322451,0.06288020722262722
2,0.008575835992814973,68,0.5924742354190521,0.04843719731445538
2,0.008575835992814973,69,0.5918595756541881,0.03382634557758988
2,0.008575835992814973,70,0.6052154946924729,0.027605679126193598
2,0.008575835992814973,71,0.6190057551549674,0.022082939000361533
2,0.008575835992814973,72,0.6329277412236927,0.016901870503007992
2,0.008575835992814973,73,0.647014643916648,0.012188371415740577
2,0.008575835992814973,74,0.661288318679145,0.008076348694503159
2,0.008575835992814973,75,0.6757531898954673,0.004701135954917584
